Proximity,City,Year,Last,First
Inland,Akron,1957,126,293
Inland,Titusville,1990,132,293
Inland,Warren (PA),1990,132,293
Inland,Warsaw,1990,132,293
Inland,Warsaw,2005,133,293
Inland,Akron,1967,143,293
Inland,Jamestown,1990,156,293
Coastal,Sandusky,1948,101,292
Coastal,Buffalo,1952,107,292
Inland,Franklin,2008,108,292
Coastal,Cleveland,1948,109,292
Coastal,Cleveland,1959,113,292
Coastal,Erie Airport,1986,114,292
Coastal,Painesville,1986,114,292
Coastal,Buffalo,2015,115,292
Coastal,North East,2015,116,292
Coastal,Buffalo,1976,117,292
Inland,Franklin,1992,121,292
Coastal,Cleveland,1986,124,292
Inland,Franklin,1976,134,292
Inland,Warren (PA),2015,143,292
Inland,Warren (OH),2015,144,292
Inland,Warren (OH),1990,156,292
Inland,Akron,1972,163,292
Coastal,Painesville,1982,105,291
Inland,Akron,1992,106,291
Coastal,Buffalo,1997,111,291
Coastal,Sandusky,1981,111,291
Inland,Warren (PA),2011,112,291
Inland,Akron,2015,114,291
Coastal,Cleveland,2015,114,291
Inland,Franklin,2015,116,291
Inland,Franklin,1982,120,291
Coastal,Cleveland,1969,121,291
Inland,Akron,2004,125,291
Inland,Warren (PA),1995,129,291
Inland,Warren (PA),1962,130,291
Inland,Warren (PA),2017,130,291
Inland,Warren (OH),1966,131,291
Coastal,North East,1966,131,291
Coastal,Buffalo,1966,131,291
Inland,Akron,1976,133,291
Inland,Akron,1959,136,291
Coastal,North East,2009,138,291
Coastal,Erie Airport,2009,138,291
Inland,Jamestown,2015,143,291
Inland,Titusville,2015,146,291
Coastal,Buffalo,1985,107,290
Coastal,Painesville,1981,111,290
Inland,Akron,1982,112,290
Coastal,Cleveland,1981,116,290
Inland,Warren (PA),1982,120,290
Inland,Akron,1978,123,290
Coastal,Erie Airport,1978,123,290
Coastal,Painesville,1978,123,290
Inland,Franklin,1978,124,290
Inland,Franklin,1970,125,290
Inland,Warren (PA),1970,127,290
Inland,Franklin,1995,128,290
Inland,Warsaw,1995,128,290
Inland,Franklin,1985,129,290
Inland,Warsaw,2017,129,290
Inland,Franklin,1997,132,290
Inland,Jamestown,1970,138,290
Inland,Titusville,1970,139,290
Inland,Warren (PA),1997,139,290
Inland,Jamestown,1985,139,290
Inland,Franklin,1981,140,290
Inland,Warsaw,2015,143,290
Inland,Franklin,1961,150,290
Coastal,Cleveland,1991,101,289
Inland,Akron,1991,102,289
Coastal,North East,1978,124,289
Coastal,Buffalo,1978,124,289
Coastal,Buffalo,1970,127,289
Inland,Warren (PA),1950,129,289
Coastal,North East,1949,131,289
Coastal,Erie Airport,1949,131,289
Coastal,North East,1950,132,289
